,Unnamed: 0,game_date,game_pk,hits,at_bats,home_runs,player_name,home_team,is_home,starting_pitcher_id,starting_pitcher_throws,batter_days_since_prev_game
95,95.0,2017-06-24 00:00:00,491226,1,4,1,"Judge, Aaron",NYY,1,502212,R,1.0
96,96.0,2017-06-25 00:00:00,491241,2,5,0,"Judge, Aaron",NYY,1,607259,R,1.0
97,97.0,2017-06-26 00:00:00,491247,0,5,0,"Judge, Aaron",CWS,0,571787,L,1.0
98,98.0,2017-06-27 00:00:00,491259,2,4,0,"Judge, Aaron",CWS,0,500779,L,1.0
99,99.0,2017-06-28 00:00:00,491274,1,5,1,"Judge, Aaron",CWS,0,607074,L,1.0
100,100.0,2017-06-29 00:00:00,491288,0,4,0,"Judge, Aaron",CWS,0,448306,R,1.0
101,101.0,2017-06-30 00:00:00,491301,0,6,0,"Judge, Aaron",HOU,0,621121,R,1.0
102,102.0,2017-07-01 00:00:00,491316,0,1,0,"Judge, Aaron",HOU,0,571704,R,1.0
103,103.0,2017-07-02 00:00:00,491331,2,4,0,"Judge, Aaron",HOU,0,571666,R,1.0
104,104.0,2017-07-03 00:00:00,491347,2,4,0,"Judge, Aaron",NYY,1,573186,R,1.0
105,105.0,2017-07-04 00:00:00,491362,1,4,1,"Judge, Aaron",NYY,1,457918,L,1.0
106,106.0,2017-07-05 00:00:00,491377,2,4,1,"Judge, Aaron",NYY,1,462136,R,1.0
107,107.0,2017-07-07 00:00:00,491399,1,5,1,"Judge, Aaron",NYY,1,448855,R,2.0
108,108.0,2017-07-08 00:00:00,491414,1,4,0,"Judge, Aaron",NYY,1,608718,L,1.0
109,109.0,2017-07-09 00:00:00,491429,1,5,0,"Judge, Aaron",NYY,1,519076,R,1.0
110,110.0,2017-07-14 00:00:00,491441,0,4,0,"Judge, Aaron",BOS,0,519141,L,5.0
111,111.0,2017-07-15 00:00:00,491456,0,8,0,"Judge, Aaron",BOS,0,519242,L,1.0
112,112.0,2017-07-16 00:00:00,490398,1,5,0,"Judge, Aaron",BOS,0,456034,L,0.0
113,113.0,2017-07-16 00:00:00,491471,0,4,0,"Judge, Aaron",BOS,0,456034,L,0.0
114,114.0,2017-07-17 00:00:00,491484,0,3,0,"Judge, Aaron",MIN,0,606167,L,1.0
115,115.0,2017-07-18 00:00:00,491499,2,4,0,"Judge, Aaron",MIN,0,112526,R,1.0
116,116.0,2017-07-19 00:00:00,491514,0,1,0,"Judge, Aaron",MIN,0,657610,R,1.0
117,117.0,2017-07-20 00:00:00,491527,1,4,0,"Judge, Aaron",SEA,0,433587,R,1.0
118,118.0,2017-07-21 00:00:00,491539,1,4,1,"Judge, Aaron",SEA,0,621058,R,1.0
119,119.0,2017-07-22 00:00:00,491554,1,4,1,"Judge, Aaron",SEA,0,664641,L,1.0
120,120.0,2017-07-23 00:00:00,491569,0,4,0,"Judge, Aaron",SEA,0,451596,R,1.0
121,121.0,2017-07-25 00:00:00,491593,1,4,0,"Judge, Aaron",NYY,1,622491,R,2.0
122,122.0,2017-07-27 00:00:00,491626,1,5,0,"Judge, Aaron",NYY,1,502042,R,2.0
123,123.0,2017-07-28 00:00:00,491641,1,4,1,"Judge, Aaron",NYY,1,643493,R,1.0
124,124.0,2017-07-29 00:00:00,491656,0,4,0,"Judge, Aaron",NYY,1,605483,L,1.0
125,125.0,2017-07-30 00:00:00,491671,0,5,0,"Judge, Aaron",NYY,1,607188,R,1.0
126,126.0,2017-07-31 00:00:00,491674,1,4,1,"Judge, Aaron",NYY,1,605242,R,1.0
127,127.0,2017-08-01 00:00:00,491684,0,4,0,"Judge, Aaron",NYY,1,434671,R,1.0
128,128.0,2017-08-02 00:00:00,491699,1,4,0,"Judge, Aaron",NYY,1,519455,R,1.0
129,129.0,2017-08-04 00:00:00,491730,1,4,0,"Judge, Aaron",CLE,0,545333,R,2.0
130,130.0,2017-08-05 00:00:00,491745,1,4,0,"Judge, Aaron",CLE,0,517593,R,1.0
131,131.0,2017-08-06 00:00:00,491760,1,5,1,"Judge, Aaron",CLE,0,471911,R,1.0
132,132.0,2017-08-08 00:00:00,491785,0,5,0,"Judge, Aaron",TOR,0,457918,L,2.0
133,133.0,2017-08-09 00:00:00,491800,0,5,0,"Judge, Aaron",TOR,0,519344,R,1.0
134,134.0,2017-08-10 00:00:00,491815,1,4,0,"Judge, Aaron",TOR,0,462136,R,1.0
135,135.0,2017-08-11 00:00:00,491820,0,4,0,"Judge, Aaron",NYY,1,593958,L,1.0
136,136.0,2017-08-12 00:00:00,491835,0,4,0,"Judge, Aaron",NYY,1,519141,L,1.0
137,137.0,2017-08-13 00:00:00,491850,1,5,0,"Judge, Aaron",NYY,1,519242,L,1.0
138,138.0,2017-08-14 00:00:00,491869,1,4,1,"Judge, Aaron",NYY,1,606160,R,1.0
139,139.0,2017-08-15 00:00:00,491882,1,4,0,"Judge, Aaron",NYY,1,594798,R,1.0
140,140.0,2017-08-16 00:00:00,491897,2,5,1,"Judge, Aaron",NYM,0,607229,R,1.0
141,141.0,2017-08-17 00:00:00,491908,0,5,0,"Judge, Aaron",NYM,0,571927,L,1.0
142,142.0,2017-08-18 00:00:00,491921,1,5,0,"Judge, Aaron",BOS,0,519141,L,1.0
143,143.0,2017-08-19 00:00:00,491936,0,5,0,"Judge, Aaron",BOS,0,519242,L,1.0
144,144.0,2017-08-20 00:00:00,491951,0,4,0,"Judge, Aaron",BOS,0,519144,R,1.0
145,145.0,2017-08-22 00:00:00,491974,1,4,0,"Judge, Aaron",DET,0,571510,L,2.0
146,146.0,2017-08-23 00:00:00,491989,2,4,0,"Judge, Aaron",DET,0,519455,R,1.0
147,147.0,2017-08-24 00:00:00,492003,1,4,0,"Judge, Aaron",DET,0,605242,R,1.0
148,148.0,2017-08-25 00:00:00,492020,0,5,0,"Judge, Aaron",NYY,1,664641,L,1.0
149,149.0,2017-08-26 00:00:00,492035,0,5,0,"Judge, Aaron",NYY,1,451596,R,1.0
150,150.0,2017-08-27 00:00:00,492050,1,5,0,"Judge, Aaron",NYY,1,452027,L,1.0
151,151.0,2017-08-30 00:00:00,492066,1,4,0,"Judge, Aaron",NYY,1,607320,L,0.0
152,152.0,2017-08-30 00:00:00,492081,0,1,0,"Judge, Aaron",NYY,1,607320,L,0.0
153,153.0,2017-08-31 00:00:00,492094,0,4,0,"Judge, Aaron",NYY,1,593958,L,1.0
154,154.0,2017-09-01 00:00:00,492105,1,4,0,"Judge, Aaron",NYY,1,450729,R,1.0
155,155.0,2017-09-02 00:00:00,492120,0,4,0,"Judge, Aaron",NYY,1,519141,L,1.0
156,156.0,2017-09-03 00:00:00,492135,1,5,1,"Judge, Aaron",NYY,1,519242,L,1.0
157,157.0,2017-09-04 00:00:00,492156,1,5,0,"Judge, Aaron",BAL,0,605164,R,1.0
158,158.0,2017-09-05 00:00:00,492171,1,5,0,"Judge, Aaron",BAL,0,476451,R,1.0
159,159.0,2017-09-07 00:00:00,492186,1,5,1,"Judge, Aaron",BAL,0,592332,R,2.0
160,160.0,2017-09-08 00:00:00,492210,1,5,0,"Judge, Aaron",TEX,0,527048,L,1.0
161,161.0,2017-09-09 00:00:00,492225,0,4,0,"Judge, Aaron",TEX,0,488768,R,1.0
162,162.0,2017-09-10 00:00:00,492240,2,4,2,"Judge, Aaron",TEX,0,456167,R,1.0
163,163.0,2017-09-11 00:00:00,492251,0,5,0,"Judge, Aaron",TB,0,543606,R,1.0
164,164.0,2017-09-12 00:00:00,492264,0,4,0,"Judge, Aaron",TB,0,605483,L,1.0
165,165.0,2017-09-14 00:00:00,492285,3,4,2,"Judge, Aaron",NYY,1,489119,L,2.0
166,166.0,2017-09-15 00:00:00,492297,0,4,0,"Judge, Aaron",NYY,1,593679,R,1.0
167,167.0,2017-09-16 00:00:00,492312,0,4,0,"Judge, Aaron",NYY,1,476451,R,1.0
168,168.0,2017-09-17 00:00:00,492327,1,4,0,"Judge, Aaron",NYY,1,434622,R,1.0
169,169.0,2017-09-18 00:00:00,492345,1,4,1,"Judge, Aaron",NYY,1,429722,R,1.0
170,170.0,2017-09-19 00:00:00,492357,2,5,0,"Judge, Aaron",NYY,1,621244,R,1.0
171,171.0,2017-09-20 00:00:00,492372,1,5,1,"Judge, Aaron",NYY,1,112526,R,1.0
172,172.0,2017-09-22 00:00:00,492397,2,4,1,"Judge, Aaron",TOR,0,462136,R,2.0
173,173.0,2017-09-23 00:00:00,492412,1,4,0,"Judge, Aaron",TOR,0,607352,R,1.0
174,174.0,2017-09-24 00:00:00,492427,2,5,2,"Judge, Aaron",TOR,0,573186,R,1.0
175,175.0,2017-09-25 00:00:00,490806,2,5,2,"Judge, Aaron",NYY,1,596001,R,1.0
176,176.0,2017-09-26 00:00:00,492456,1,5,0,"Judge, Aaron",NYY,1,605483,L,1.0
177,177.0,2017-09-27 00:00:00,492471,1,4,0,"Judge, Aaron",NYY,1,542882,R,1.0
178,178.0,2017-09-28 00:00:00,492483,1,5,1,"Judge, Aaron",NYY,1,607188,R,1.0
179,179.0,2017-09-29 00:00:00,492498,1,4,0,"Judge, Aaron",NYY,1,607352,R,1.0
180,180.0,2017-09-30 00:00:00,492513,1,4,1,"Judge, Aaron",NYY,1,573186,R,1.0
181,181.0,2017-10-03 00:00:00,526475,2,5,1,"Judge, Aaron",NYY,1,429722,R,3.0
182,182.0,2017-10-05 00:00:00,526477,0,4,0,"Judge, Aaron",CLE,0,545333,R,2.0
183,183.0,2017-10-06 00:00:00,526478,0,7,0,"Judge, Aaron",CLE,0,446372,R,1.0
184,184.0,2017-10-08 00:00:00,526479,0,4,0,"Judge, Aaron",NYY,1,471911,R,2.0
185,185.0,2017-10-09 00:00:00,526480,1,5,0,"Judge, Aaron",NYY,1,545333,R,1.0
186,186.0,2017-10-11 00:00:00,526481,0,5,0,"Judge, Aaron",CLE,0,446372,R,2.0
